length,thickness,minR,meanR,maxR,minG,meanG,maxG,minB,meanB,maxB;
11,3,42,86,116,42,86,116,42,86,116;
11,2,29,77,105,29,77,105,29,77,105;
10,3,47,76,104,47,76,104,47,76,104;
18,17,10,80,178,10,80,178,10,80,178;
4,3,50,75,137,50,75,137,50,75,137;
33,4,2,53,124,2,53,124,2,53,124;
15,3,6,60,118,6,60,118,6,60,118;
14,3,12,54,91,12,54,91,12,54,91;
12,3,23,66,94,23,66,94,23,66,94;
11,2,31,65,93,31,65,93,31,65,93;
8,3,32,47,74,32,47,74,32,47,74;
11,4,17,47,97,17,47,97,17,47,97;
12,4,11,39,73,11,39,73,11,39,73;
27,4,8,59,101,8,59,101,8,59,101;
10,4,15,36,68,15,36,68,15,36,68;
10,2,39,76,104,39,76,104,39,76,104;
22,4,10,64,125,10,64,125,10,64,125;
15,3,5,54,106,5,54,106,5,54,106;
10,3,12,46,74,12,46,74,12,46,74;
10,3,15,34,54,15,34,54,15,34,54;
17,3,20,76,113,20,76,113,20,76,113;
9,2,37,67,104,37,67,104,37,67,104;
9,3,29,73,112,29,73,112,29,73,112;
16,5,2,19,58,2,19,58,2,19,58;
10,3,32,67,108,32,67,108,32,67,108;
13,3,16,59,99,16,59,99,16,59,99;
14,3,7,52,95,7,52,95,7,52,95;
13,1,1,13,36,1,13,36,1,13,36;
18,4,3,20,47,3,20,47,3,20,47;
9,2,46,78,109,46,78,109,46,78,109;
10,2,34,71,97,34,71,97,34,71,97;
12,2,39,75,108,39,75,108,39,75,108;
12,2,30,70,120,30,70,120,30,70,120;
12,6,1,20,59,1,20,59,1,20,59;
12,6,1,13,37,1,13,37,1,13,37;
9,5,2,58,124,2,58,124,2,58,124;
19,5,4,24,68,4,24,68,4,24,68;
11,4,19,54,92,19,54,92,19,54,92;
10,3,20,54,90,20,54,90,20,54,90;
11,3,40,76,103,40,76,103,40,76,103;
25,4,1,76,123,1,76,123,1,76,123;
26,4,7,82,121,7,82,121,7,82,121;
12,4,12,35,66,12,35,66,12,35,66;
6,2,60,112,169,60,112,169,60,112,169;
12,5,1,15,51,1,15,51,1,15,51;
8,3,1,33,77,1,33,77,1,33,77;
13,3,38,94,136,38,94,136,38,94,136;
30,4,1,78,168,1,78,168,1,78,168;
26,4,3,59,106,3,59,106,3,59,106;
37,15,2,47,99,2,47,99,2,47,99;
15,2,35,115,173,35,115,173,35,115,173;
14,3,36,102,171,36,102,171,36,102,171;
11,3,7,29,61,7,29,61,7,29,61;
10,3,9,37,71,9,37,71,9,37,71;
31,5,1,71,115,1,71,115,1,71,115;
25,5,5,69,119,5,69,119,5,69,119;
10,3,18,41,78,18,41,78,18,41,78;
27,3,3,48,97,3,48,97,3,48,97;
10,3,17,45,85,17,45,85,17,45,85;
23,3,8,62,104,8,62,104,8,62,104;
