length,thickness,minR,meanR,maxR,minG,meanG,maxG,minB,meanB,maxB;
24,6,8,55,96,8,55,96,8,55,96;
24,6,9,56,95,9,56,95,9,56,95;
25,6,8,54,94,8,54,94,8,54,94;
24,6,6,57,94,6,57,94,6,57,94;
24,6,5,52,100,5,52,100,5,52,100;
24,6,5,50,96,5,50,96,5,50,96;
23,6,4,48,98,4,48,98,4,48,98;
25,6,5,51,98,5,51,98,5,51,98;
24,6,3,49,98,3,49,98,3,49,98;
23,6,4,51,95,4,51,95,4,51,95;
23,6,6,54,99,6,54,99,6,54,99;
25,6,4,50,97,4,50,97,4,50,97;
25,6,8,54,98,8,54,98,8,54,98;
23,6,4,52,99,4,52,99,4,52,99;
26,6,2,52,96,2,52,96,2,52,96;
24,6,3,50,96,3,50,96,3,50,96;
22,6,3,23,44,3,23,44,3,23,44;
22,5,4,24,66,4,24,66,4,24,66;
23,5,8,33,78,8,33,78,8,33,78;
22,5,5,38,74,5,38,74,5,38,74;
22,5,2,23,59,2,23,59,2,23,59;
22,5,10,50,87,10,50,87,10,50,87;
23,4,10,44,92,10,44,92,10,44,92;
22,5,9,56,98,9,56,98,9,56,98;
23,4,8,41,81,8,41,81,8,41,81;
23,5,10,46,86,10,46,86,10,46,86;
22,5,5,35,71,5,35,71,5,35,71;
23,4,5,25,51,5,25,51,5,25,51;
23,6,7,48,90,7,48,90,7,48,90;
22,6,3,27,64,3,27,64,3,27,64;
23,6,2,26,62,2,26,62,2,26,62;
22,6,2,23,73,2,23,73,2,23,73;
23,5,10,56,97,10,56,97,10,56,97;
22,5,2,20,47,2,20,47,2,20,47;
23,5,8,54,91,8,54,91,8,54,91;
24,5,10,47,81,10,47,81,10,47,81;
23,4,4,33,61,4,33,61,4,33,61;
23,5,5,45,92,5,45,92,5,45,92;
23,5,7,47,89,7,47,89,7,47,89;
23,5,11,54,101,11,54,101,11,54,101;
23,6,9,52,102,9,52,102,9,52,102;
10,5,10,47,82,10,47,82,10,47,82;
25,5,4,47,85,4,47,85,4,47,85;
24,5,4,46,86,4,46,86,4,46,86;
22,5,7,46,85,7,46,85,7,46,85;
22,5,8,49,87,8,49,87,8,49,87;
26,6,4,47,85,4,47,85,4,47,85;
23,5,4,48,85,4,48,85,4,48,85;
23,5,5,47,84,5,47,84,5,47,84;
24,6,5,48,85,5,48,85,5,48,85;
24,5,7,52,84,7,52,84,7,52,84;
25,5,3,47,83,3,47,83,3,47,83;
23,5,14,53,86,14,53,86,14,53,86;
23,5,7,48,83,7,48,83,7,48,83;
25,5,7,50,87,7,50,87,7,50,87;
23,5,4,52,84,4,52,84,4,52,84;
24,6,6,48,87,6,48,87,6,48,87;
23,6,5,48,84,5,48,84,5,48,84;
26,5,5,45,86,5,45,86,5,45,86;
24,5,7,47,82,7,47,82,7,47,82;
23,5,7,45,84,7,45,84,7,45,84;
23,5,4,47,84,4,47,84,4,47,84;
24,5,3,47,84,3,47,84,3,47,84;
24,5,3,45,85,3,45,85,3,45,85;
23,5,5,47,83,5,47,83,5,47,83;
23,5,10,50,86,10,50,86,10,50,86;
24,5,3,22,47,3,22,47,3,22,47;
24,5,4,37,85,4,37,85,4,37,85;
24,6,6,39,89,6,39,89,6,39,89;
25,4,4,41,91,4,41,91,4,41,91;
24,6,4,48,90,4,48,90,4,48,90;
25,4,9,45,95,9,45,95,9,45,95;
24,5,5,47,90,5,47,90,5,47,90;
24,5,12,58,98,12,58,98,12,58,98;
25,4,6,42,79,6,42,79,6,42,79;
24,5,4,43,87,4,43,87,4,43,87;
25,5,4,36,71,4,36,71,4,36,71;
25,4,4,27,53,4,27,53,4,27,53;
24,6,8,48,90,8,48,90,8,48,90;
24,6,3,27,65,3,27,65,3,27,65;
24,5,4,49,98,4,49,98,4,49,98;
24,6,8,54,107,8,54,107,8,54,107;
24,6,2,25,74,2,25,74,2,25,74;
24,5,5,50,97,5,50,97,5,50,97;
24,5,3,22,43,3,22,43,3,22,43;
24,5,4,50,93,4,50,93,4,50,93;
25,5,7,48,81,7,48,81,7,48,81;
24,5,4,26,63,4,26,63,4,26,63;
25,5,2,29,77,2,29,77,2,29,77;
26,5,2,25,78,2,25,78,2,25,78;
24,6,4,33,71,4,33,71,4,33,71;
38,19,4,61,148,4,61,148,4,61,148;
26,5,4,39,86,4,39,86,4,39,86;
24,5,3,37,85,3,37,85,3,37,85;
25,5,2,39,85,2,39,85,2,39,85;
24,4,2,37,88,2,37,88,2,37,88;
22,4,4,38,83,4,38,83,4,38,83;
22,4,4,39,86,4,39,86,4,39,86;
22,4,3,39,87,3,39,87,3,39,87;
23,4,5,39,83,5,39,83,5,39,83;
24,4,4,39,84,4,39,84,4,39,84;
24,4,6,41,84,6,41,84,6,41,84;
25,5,4,38,83,4,38,83,4,38,83;
24,4,9,41,87,9,41,87,9,41,87;
24,5,4,40,83,4,40,83,4,40,83;
26,4,5,40,87,5,40,87,5,40,87;
24,4,4,41,84,4,41,84,4,41,84;
25,5,5,39,89,5,39,89,5,39,89;
24,5,2,37,89,2,37,89,2,37,89;
25,5,3,39,86,3,39,86,3,39,86;
25,4,3,36,83,3,36,83,3,36,83;
24,5,4,36,84,4,36,84,4,36,84;
24,5,2,36,84,2,36,84,2,36,84;
25,5,3,39,85,3,39,85,3,39,85;
25,5,3,36,83,3,36,83,3,36,83;
23,4,3,38,83,3,38,83,3,38,83;
24,4,4,40,84,4,40,84,4,40,84;
10,4,6,38,83,6,38,83,6,38,83;
23,6,1,54,101,1,54,101,1,54,101;
24,6,5,49,87,5,49,87,5,49,87;
24,6,5,55,105,5,55,105,5,55,105;
25,6,4,30,76,4,30,76,4,30,76;
25,5,4,37,87,4,37,87,4,37,87;
25,5,3,24,67,3,24,67,3,24,67;
25,5,6,34,80,6,34,80,6,34,80;
26,5,6,38,76,6,38,76,6,38,76;
24,5,5,44,91,5,44,91,5,44,91;
25,5,3,25,85,3,25,85,3,25,85;
26,5,4,47,88,4,47,88,4,47,88;
25,5,3,41,95,3,41,95,3,41,95;
26,5,5,46,93,5,46,93,5,46,93;
25,5,4,39,82,4,39,82,4,39,82;
24,5,6,45,87,6,45,87,6,45,87;
25,5,2,33,72,2,33,72,2,33,72;
25,5,4,29,78,4,29,78,4,29,78;
25,6,4,28,64,4,28,64,4,28,64;
24,5,6,53,100,6,53,100,6,53,100;
25,6,2,28,68,2,28,68,2,28,68;
25,6,2,29,75,2,29,75,2,29,75;
24,5,6,53,99,6,53,99,6,53,99;
25,5,3,21,45,3,21,45,3,21,45;
26,5,6,52,93,6,52,93,6,52,93;
25,5,4,43,82,4,43,82,4,43,82;
26,5,20,47,86,20,47,86,20,47,86;
25,6,5,53,100,5,53,100,5,53,100;
22,6,6,50,100,6,50,100,6,50,100;
26,6,9,53,99,9,53,99,9,53,99;
25,6,10,53,95,10,53,95,10,53,95;
24,6,6,49,99,6,49,99,6,49,99;
23,6,2,50,98,2,50,98,2,50,98;
25,6,5,49,100,5,49,100,5,49,100;
24,6,6,50,103,6,50,103,6,50,103;
25,6,4,51,100,4,51,100,4,51,100;
24,6,4,50,101,4,50,101,4,50,101;
24,6,6,52,104,6,52,104,6,52,104;
25,6,11,52,99,11,52,99,11,52,99;
22,6,6,50,100,6,50,100,6,50,100;
25,6,6,52,100,6,52,100,6,52,100;
24,5,6,45,81,6,45,81,6,45,81;
10,6,6,43,96,6,43,96,6,43,96;
23,6,4,49,103,4,49,103,4,49,103;
24,6,2,50,103,2,50,103,2,50,103;
23,6,8,50,102,8,50,102,8,50,102;
23,6,5,51,99,5,51,99,5,51,99;
24,6,7,52,103,7,52,103,7,52,103;
23,6,6,50,97,6,50,97,6,50,97;
26,6,3,49,104,3,49,104,3,49,104;
23,6,4,49,99,4,49,99,4,49,99;
24,6,4,49,98,4,49,98,4,49,98;
23,6,6,51,98,6,51,98,6,51,98;
22,6,4,38,83,4,38,83,4,38,83;
22,6,3,24,69,3,24,69,3,24,69;
22,6,11,51,86,11,51,86,11,51,86;
22,6,10,46,88,10,46,88,10,46,88;
22,6,9,49,87,9,49,87,9,49,87;
22,6,12,55,95,12,55,95,12,55,95;
22,6,4,21,43,4,21,43,4,21,43;
22,5,1,21,46,1,21,46,1,21,46;
23,5,4,32,61,4,32,61,4,32,61;
22,5,3,24,66,3,24,66,3,24,66;
22,5,3,29,79,3,29,79,3,29,79;
22,5,3,41,90,3,41,90,3,41,90;
23,5,6,41,93,6,41,93,6,41,93;
23,5,8,48,89,8,48,89,8,48,89;
22,5,9,55,99,9,55,99,9,55,99;
22,5,8,43,80,8,43,80,8,43,80;
22,5,4,35,71,4,35,71,4,35,71;
