length,thickness,minR,meanR,maxR,minG,meanG,maxG,minB,meanB,maxB;
17,4,9,65,110,9,65,110,9,65,110;
18,4,13,44,85,13,44,85,13,44,85;
32,5,2,43,104,2,43,104,2,43,104;
32,5,1,41,84,1,41,84,1,41,84;
16,4,7,49,91,7,49,91,7,49,91;
16,4,10,61,121,10,61,121,10,61,121;
19,5,2,22,66,2,22,66,2,22,66;
18,5,7,43,88,7,43,88,7,43,88;
21,5,2,34,90,2,34,90,2,34,90;
19,4,8,43,104,8,43,104,8,43,104;
30,4,3,42,97,3,42,97,3,42,97;
29,5,2,38,91,2,38,91,2,38,91;
19,4,5,44,97,5,44,97,5,44,97;
1,0,10,46,108,10,46,108,10,46,108;
17,5,4,36,80,4,36,80,4,36,80;
17,5,6,38,81,6,38,81,6,38,81;
21,4,9,44,88,9,44,88,9,44,88;
22,5,5,31,76,5,31,76,5,31,76;
16,4,6,53,96,6,53,96,6,53,96;
20,4,21,78,114,21,78,114,21,78,114;
21,5,2,38,90,2,38,90,2,38,90;
13,4,3,28,71,3,28,71,3,28,71;
25,5,4,40,103,4,40,103,4,40,103;
16,5,2,31,74,2,31,74,2,31,74;
24,4,5,37,86,5,37,86,5,37,86;
21,4,3,40,92,3,40,92,3,40,92;
18,5,4,34,71,4,34,71,4,34,71;
6,4,2,6,26,2,6,26,2,6,26;
20,5,6,65,105,6,65,105,6,65,105;
18,5,15,43,82,15,43,82,15,43,82;
22,5,1,31,61,1,31,61,1,31,61;
24,5,6,42,117,6,42,117,6,42,117;
21,3,7,108,180,7,108,180,7,108,180;
18,7,1,18,80,1,18,80,1,18,80;
19,6,1,20,62,1,20,62,1,20,62;
20,5,4,38,78,4,38,78,4,38,78;
15,3,4,22,56,4,22,56,4,22,56;
23,4,2,35,86,2,35,86,2,35,86;
15,4,5,29,74,5,29,74,5,29,74;
24,4,7,42,95,7,42,95,7,42,95;
19,5,5,28,79,5,28,79,5,28,79;
33,5,1,48,97,1,48,97,1,48,97;
21,5,3,31,83,3,31,83,3,31,83;
22,4,15,44,85,15,44,85,15,44,85;
18,4,5,39,84,5,39,84,5,39,84;
23,5,1,42,99,1,42,99,1,42,99;
34,5,1,27,96,1,27,96,1,27,96;
33,5,2,37,88,2,37,88,2,37,88;
20,5,1,43,104,1,43,104,1,43,104;
17,5,4,34,86,4,34,86,4,34,86;
24,4,3,43,92,3,43,92,3,43,92;
24,4,1,49,106,1,49,106,1,49,106;
4,3,4,12,31,4,12,31,4,12,31;
22,5,3,27,87,3,27,87,3,27,87;
20,4,4,38,84,4,38,84,4,38,84;
16,5,3,27,73,3,27,73,3,27,73;
18,4,3,30,77,3,30,77,3,30,77;
28,5,4,39,102,4,39,102,4,39,102;
28,4,2,35,74,2,35,74,2,35,74;
24,4,2,46,108,2,46,108,2,46,108;
24,4,17,77,130,17,77,130,17,77,130;
17,5,3,30,84,3,30,84,3,30,84;
20,5,7,36,90,7,36,90,7,36,90;
6,2,3,11,21,3,11,21,3,11,21;
21,4,1,35,94,1,35,94,1,35,94;
21,5,3,29,71,3,29,71,3,29,71;
23,4,3,62,114,3,62,114,3,62,114;
23,4,5,44,95,5,44,95,5,44,95;
29,5,2,29,86,2,29,86,2,29,86;
21,5,2,34,85,2,34,85,2,34,85;
16,5,3,35,77,3,35,77,3,35,77;
16,5,5,33,84,5,33,84,5,33,84;
16,7,1,12,37,1,12,37,1,12,37;
24,4,7,44,83,7,44,83,7,44,83;
23,4,5,47,102,5,47,102,5,47,102;
21,4,1,42,99,1,42,99,1,42,99;
23,4,9,72,120,9,72,120,9,72,120;
22,4,8,56,97,8,56,97,8,56,97;
15,4,4,34,83,4,34,83,4,34,83;
20,4,1,40,101,1,40,101,1,40,101;
21,7,1,15,57,1,15,57,1,15,57;
18,5,1,32,94,1,32,94,1,32,94;
17,5,10,48,105,10,48,105,10,48,105;
21,4,6,45,80,6,45,80,6,45,80;
14,3,15,49,93,15,49,93,15,49,93;
23,4,4,44,99,4,44,99,4,44,99;
40,9,1,51,121,1,51,121,1,51,121;
15,4,9,53,114,9,53,114,9,53,114;
35,16,7,46,99,7,46,99,7,46,99;
31,16,6,57,121,6,57,121,6,57,121;
19,4,9,67,120,9,67,120,9,67,120;
23,6,1,20,78,1,20,78,1,20,78;
12,3,1,10,46,1,10,46,1,10,46;
21,5,1,16,53,1,16,53,1,16,53;
17,4,9,62,117,9,62,117,9,62,117;
23,4,4,57,120,4,57,120,4,57,120;
21,5,2,36,75,2,36,75,2,36,75;
7,3,7,23,46,7,23,46,7,23,46;
18,4,11,65,99,11,65,99,11,65,99;
18,4,3,29,69,3,29,69,3,29,69;
38,8,1,45,119,1,45,119,1,45,119;
33,7,1,46,98,1,46,98,1,46,98;
17,5,6,30,72,6,30,72,6,30,72;
21,4,9,52,116,9,52,116,9,52,116;
5,3,1,4,10,1,4,10,1,4,10;
23,4,5,40,84,5,40,84,5,40,84;
17,5,1,31,74,1,31,74,1,31,74;
18,5,4,32,75,4,32,75,4,32,75;
16,4,3,31,73,3,31,73,3,31,73;
22,5,1,26,82,1,26,82,1,26,82;
24,6,1,26,76,1,26,76,1,26,76;
1,0,16,59,104,16,59,104,16,59,104;
21,4,8,76,127,8,76,127,8,76,127;
0,0,1,26,82,1,26,82,1,26,82;
14,5,2,27,53,2,27,53,2,27,53;
15,5,4,24,49,4,24,49,4,24,49;
19,5,4,48,97,4,48,97,4,48,97;
21,4,4,46,92,4,46,92,4,46,92;
17,3,9,55,87,9,55,87,9,55,87;
8,5,1,7,30,1,7,30,1,7,30;
13,4,16,51,98,16,51,98,16,51,98;
19,4,13,49,71,13,49,71,13,49,71;
19,4,11,56,117,11,56,117,11,56,117;
1,0,4,62,116,4,62,116,4,62,116;
11,5,2,17,46,2,17,46,2,17,46;
22,6,1,29,71,1,29,71,1,29,71;
20,4,5,41,97,5,41,97,5,41,97;
19,4,11,80,133,11,80,133,11,80,133;
16,4,12,56,124,12,56,124,12,56,124;
24,5,5,47,111,5,47,111,5,47,111;
19,4,7,46,82,7,46,82,7,46,82;
18,5,13,57,120,13,57,120,13,57,120;
14,4,4,27,76,4,27,76,4,27,76;
15,5,6,31,83,6,31,83,6,31,83;
19,4,5,46,84,5,46,84,5,46,84;
19,5,13,55,104,13,55,104,13,55,104;
19,4,40,70,97,40,70,97,40,70,97;
19,4,2,47,91,2,47,91,2,47,91;
5,3,1,6,19,1,6,19,1,6,19;
18,5,2,48,91,2,48,91,2,48,91;
1,0,10,40,86,10,40,86,10,40,86;
7,4,13,26,60,13,26,60,13,26,60;
22,5,6,38,78,6,38,78,6,38,78;
16,4,9,29,59,9,29,59,9,29,59;
19,5,6,29,80,6,29,80,6,29,80;
18,5,1,22,69,1,22,69,1,22,69;
26,4,10,57,115,10,57,115,10,57,115;
25,4,1,39,83,1,39,83,1,39,83;
15,5,2,20,53,2,20,53,2,20,53;
15,6,1,19,46,1,19,46,1,19,46;
26,6,1,19,86,1,19,86,1,19,86;
25,4,1,45,112,1,45,112,1,45,112;
23,4,6,43,88,6,43,88,6,43,88;
7,6,1,16,54,1,16,54,1,16,54;
17,5,2,25,75,2,25,75,2,25,75;
17,5,1,23,65,1,23,65,1,23,65;
24,4,17,85,138,17,85,138,17,85,138;
23,3,12,76,124,12,76,124,12,76,124;
15,5,3,24,62,3,24,62,3,24,62;
15,5,3,20,61,3,20,61,3,20,61;
8,4,1,2,11,1,2,11,1,2,11;
25,4,5,52,123,5,52,123,5,52,123;
25,4,7,55,100,7,55,100,7,55,100;
17,5,3,29,91,3,29,91,3,29,91;
32,5,2,46,113,2,46,113,2,46,113;
14,4,2,23,61,2,23,61,2,23,61;
24,4,6,49,94,6,49,94,6,49,94;
23,4,6,54,113,6,54,113,6,54,113;
22,4,2,42,78,2,42,78,2,42,78;
16,4,4,25,56,4,25,56,4,25,56;
25,7,1,18,67,1,18,67,1,18,67;
18,5,5,29,63,5,29,63,5,29,63;
23,4,3,46,96,3,46,96,3,46,96;
22,4,13,52,88,13,52,88,13,52,88;
22,4,5,40,75,5,40,75,5,40,75;
14,4,1,22,50,1,22,50,1,22,50;
14,4,2,30,73,2,30,73,2,30,73;
24,4,17,88,123,17,88,123,17,88,123;
12,3,1,19,89,1,19,89,1,19,89;
19,4,3,36,90,3,36,90,3,36,90;
18,4,2,37,81,2,37,81,2,37,81;
15,5,4,27,66,4,27,66,4,27,66;
14,5,6,39,128,6,39,128,6,39,128;
31,4,4,50,99,4,50,99,4,50,99;
28,4,6,37,80,6,37,80,6,37,80;
23,5,1,23,81,1,23,81,1,23,81;
21,5,1,21,60,1,21,60,1,21,60;
30,4,6,73,128,6,73,128,6,73,128;
30,5,1,50,105,1,50,105,1,50,105;
17,5,1,29,80,1,29,80,1,29,80;
19,4,1,31,78,1,31,78,1,31,78;
27,5,1,43,99,1,43,99,1,43,99;
26,5,3,65,128,3,65,128,3,65,128;
16,5,1,16,62,1,16,62,1,16,62;
20,6,2,31,79,2,31,79,2,31,79;
15,5,3,18,58,3,18,58,3,18,58;
26,5,2,33,85,2,33,85,2,33,85;
26,5,2,51,112,2,51,112,2,51,112;
23,4,8,86,134,8,86,134,8,86,134;
19,5,2,23,73,2,23,73,2,23,73;
17,5,4,21,57,4,21,57,4,21,57;
24,5,2,40,74,2,40,74,2,40,74;
18,4,2,60,105,2,60,105,2,60,105;
0,0,1,17,53,1,17,53,1,17,53;
14,5,2,20,52,2,20,52,2,20,52;
22,4,4,58,116,4,58,116,4,58,116;
22,3,5,59,115,5,59,115,5,59,115;
23,4,2,49,121,2,49,121,2,49,121;
22,5,8,50,84,8,50,84,8,50,84;
14,4,1,20,47,1,20,47,1,20,47;
21,3,4,43,90,4,43,90,4,43,90;
14,4,3,31,71,3,31,71,3,31,71;
16,4,3,21,52,3,21,52,3,21,52;
17,5,1,35,86,1,35,86,1,35,86;
22,4,2,54,108,2,54,108,2,54,108;
20,4,4,34,72,4,34,72,4,34,72;
21,4,2,35,85,2,35,85,2,35,85;
24,5,2,35,94,2,35,94,2,35,94;
13,4,4,19,46,4,19,46,4,19,46;
13,4,3,20,47,3,20,47,3,20,47;
22,4,5,78,128,5,78,128,5,78,128;
29,16,5,45,127,5,45,127,5,45,127;
18,4,4,29,56,4,29,56,4,29,56;
16,4,6,28,58,6,28,58,6,28,58;
17,4,4,20,49,4,20,49,4,20,49;
15,4,2,19,48,2,19,48,2,19,48;
14,5,1,21,62,1,21,62,1,21,62;
32,5,5,46,102,5,46,102,5,46,102;
32,4,2,68,113,2,68,113,2,68,113;
38,4,1,40,91,1,40,91,1,40,91;
36,4,1,59,129,1,59,129,1,59,129;
31,5,2,54,93,2,54,93,2,54,93;
16,5,3,25,75,3,25,75,3,25,75;
16,5,4,28,72,4,28,72,4,28,72;
32,4,2,78,135,2,78,135,2,78,135;
27,3,3,32,58,3,32,58,3,32,58;
27,3,3,58,119,3,58,119,3,58,119;
26,4,7,59,98,7,59,98,7,59,98;
25,4,6,47,75,6,47,75,6,47,75;
16,5,3,27,96,3,27,96,3,27,96;
16,5,2,33,79,2,33,79,2,33,79;
26,4,1,46,78,1,46,78,1,46,78;
26,4,6,66,125,6,66,125,6,66,125;
13,4,5,35,68,5,35,68,5,35,68;
17,5,1,34,69,1,34,69,1,34,69;
17,5,4,34,66,4,34,66,4,34,66;
13,5,12,41,73,12,41,73,12,41,73;
25,4,5,49,114,5,49,114,5,49,114;
23,4,9,49,96,9,49,96,9,49,96;
23,4,6,58,107,6,58,107,6,58,107;
22,4,7,49,84,7,49,84,7,49,84;
24,4,2,35,83,2,35,83,2,35,83;
24,3,5,46,90,5,46,90,5,46,90;
26,3,6,76,124,6,76,124,6,76,124;
23,4,9,81,123,9,81,123,9,81,123;
16,4,6,35,99,6,35,99,6,35,99;
15,4,4,29,72,4,29,72,4,29,72;
18,3,7,37,76,7,37,76,7,37,76;
14,3,13,37,76,13,37,76,13,37,76;
13,4,7,39,86,7,39,86,7,39,86;
18,4,5,36,75,5,36,75,5,36,75;
11,4,7,31,72,7,31,72,7,31,72;
18,4,6,36,76,6,36,76,6,36,76;
15,4,10,35,76,10,35,76,10,35,76;
16,4,6,36,77,6,36,77,6,36,77;
14,5,5,38,80,5,38,80,5,38,80;
21,4,9,82,119,9,82,119,9,82,119;
20,4,1,34,87,1,34,87,1,34,87;
20,4,3,78,135,3,78,135,3,78,135;
20,4,24,84,124,24,84,124,24,84,124;
20,4,11,47,98,11,47,98,11,47,98;
20,4,1,47,89,1,47,89,1,47,89;
20,4,12,86,126,12,86,126,12,86,126;
21,5,5,24,70,5,24,70,5,24,70;
22,5,6,78,128,6,78,128,6,78,128;
24,4,3,56,96,3,56,96,3,56,96;
25,5,4,50,80,4,50,80,4,50,80;
